School name,2023 Enrolment Pressure (EPI),School Type,Suburb,LGA,Education Sector,Estimated no. Enrolments,Full Capacity (100% EPI),Spare Capacity,Note
Hartwell Primary School,77%,Primary,Camberwell,Boroondara (C),Government,598,777,179,
Mont Albert Primary School,77%,Primary,Mont Albert,Whitehorse (C),Government,585,760,175,
Dandenong South Primary School,77%,Primary,Dandenong,Greater Dandenong (C),Government,576,748,172,
Lara Secondary College,77%,Secondary,Lara,Greater Geelong (C),Government,694,901,207,
Aitken Hill Primary School,77%,Primary,Craigieburn,Hume (C),Government,781,1015,233,
Creekside K-9 College,77%,Pri/Sec,Caroline Springs,Melton (C),Government,1302,1691,389,
Northern Bay P-12 College,77%,Pri/Sec,Corio,Greater Geelong (C),Government,1710,2221,511,
Avenel Primary School,76%,Primary,Avenel,Strathbogie (S),Government,152,200,48,
Rochester Primary School,76%,Primary,Rochester,Campaspe (S),Government,170,224,54,
Lightning Reef Primary School,76%,Primary,Bendigo,Greater Bendigo (C),Government,152,200,48,
California Gully Primary School,76%,Primary,California Gully,Greater Bendigo (C),Government,172,226,54,
Cardinia Primary School,76%,Primary,Cardinia,Cardinia (S),Government,228,300,72,
Newtown Primary School,76%,Primary,Newtown,Greater Geelong (C),Government,210,276,66,
Albion North Primary School,76%,Primary,Sunshine North,Brimbank (C),Government,210,276,66,
Bayswater West Primary School,76%,Primary,Bayswater,Knox (C),Government,231,304,73,
Bairnsdale Primary School,76%,Primary,Bairnsdale,East Gippsland (S),Government,209,275,66,
Albanvale Primary School,76%,Primary,Albanvale,Brimbank (C),Government,290,382,92,
Northcote Primary School,76%,Primary,Northcote,Darebin (C),Independent,326,429,103,
Grovedale West Primary School,76%,Primary,Grovedale,Greater Geelong (C),Government,342,450,108,
Victorian College Of The Arts Secondary School,76%,Secondary,Southbank,Melbourne (C),Government,346,456,109,
Kew East Primary School,76%,Primary,Kew East,Boroondara (C),Government,364,479,115,
Mount Evelyn Primary School,76%,Primary,Mount Evelyn,Yarra Ranges (S),Government,362,477,114,
Keysborough Gardens Primary School,76%,Primary,Keysborough,Greater Dandenong (C),Government,383,504,121,
Mount Eliza Primary School,76%,Primary,Mount Eliza,Mornington Peninsula (S),Government,478,629,151,
Bellbrae Primary School,76%,Primary,Bellbrae,Surf Coast (S),Government,458,603,145,
Darley Primary School,76%,Primary,Darley,Moorabool (S),Government,535,704,169,
Prahran High School,76%,Secondary,Windsor,Stonnington (C),Government,501,659,158,
Mullauna Secondary College,76%,Secondary,Mitcham,Whitehorse (C),Government,537,707,170,
Taylors Hill Primary School,76%,Primary,Taylors Hill,Melton (C),Government,646,850,204,
Emerald Secondary College,76%,Secondary,Emerald,Cardinia (S),Government,686,902,217,
Horsham College,76%,Secondary,Horsham,Horsham (RC),Government,1070,1408,338,
Victoria University Secondary College,76%,Secondary,St Albans,Brimbank (C),Government,1094,1439,345,
Greater Shepparton Secondary College,76%,Secondary,Shepparton,Greater Shepparton (C),Government,2070,2724,654,
McKinnon Secondary College,76%,Secondary,Mckinnon,Glen Eira (C),Government,2666,3508,842,
Balliang East Primary School,75%,Primary,Balliang East,Moorabool (S),Government,75,100,25,
Colac Primary School,75%,Primary,Colac,Colac-Otway (S),Government,188,251,63,
Boisdale Consolidated School,75%,Primary,Boisdale,Wellington (S),Government,206,275,69,
Briar Hill Primary School,75%,Primary,Briar Hill,Banyule (C),Government,226,301,75,
Yarra Primary School,75%,Primary,Richmond,Yarra (C),Government,236,315,79,
Bethal Primary School,75%,Primary,Meadow Heights,Hume (C),Government,299,398,100,
Spotswood Primary School,75%,Primary,Spotswood,Hobsons Bay (C),Government,264,352,88,
Quarry Hill Primary School,75%,Primary,Quarry Hill,Greater Bendigo (C),Government,319,425,106,
Princes Hill Primary School,75%,Primary,Carlton North,Yarra (C),Government,357,476,119,
Tinternvale Primary School,75%,Primary,Ringwood East,Maroondah (C),Government,320,427,107,
Kingsley Park Primary School,75%,Primary,Frankston,Frankston (C),Government,375,500,125,
Woodville Primary School,75%,Primary,Hoppers Crossing,Wyndham (C),Government,395,527,132,
Southmoor Primary School,75%,Primary,Moorabbin,Kingston (C),Government,430,573,143,
Ranfurly Primary School,75%,Primary,Mildura,Mildura (RC),Government,411,548,137,
Morang South Primary School,75%,Primary,South Morang,Whittlesea (C),Government,396,528,132,
Timboon P-12 School,75%,Pri/Sec,Timboon,Corangamite (S),Government,469,626,156,
Toorak Primary School,75%,Primary,Toorak,Stonnington (C),Government,470,627,157,
River Gum Primary School,75%,Primary,Hampton Park,Casey (C),Government,488,651,163,
Eaglehawk Secondary College,75%,Secondary,Eaglehawk,Greater Bendigo (C),Government,599,799,200,
Altona College,75%,Pri/Sec,Altona,Hobsons Bay (C),Government,660,879,220,
Torquay P-6 College,75%,Primary,Torquay,Surf Coast (S),Government,802,1069,267,
Rowellyn Park Primary School,75%,Primary,Carrum Downs,Frankston (C),Government,757,1009,252,
Sydenham - Hillside Primary School,75%,Primary,Sydenham,Brimbank (C),Government,1080,1440,360,
Hume Central Secondary College,75%,Secondary,Broadmeadows,Hume (C),Government,1176,1568,392,
Birregurra Primary School,74%,Primary,Birregurra,Colac-Otway (S),Government,111,150,39,
Lockington Consolidated School,74%,Primary,Lockington,Campaspe (S),Government,130,176,46,
Portland South Primary School,74%,Primary,Portland,Glenelg (S),Government,129,175,45,
Meeniyan Primary School,74%,Primary,Meeniyan,South Gippsland (S),Government,148,200,52,
Rosewood Downs Primary School,74%,Primary,Dandenong North,Greater Dandenong (C),Government,299,404,105,
Camp Hill Primary School,74%,Primary,Bendigo,Greater Bendigo (C),Government,278,376,98,
Broadford Primary School,74%,Primary,Broadford,Mitchell (S),Government,335,453,118,
Brunswick East Primary School,74%,Primary,Brunswick East,Moreland (C),Government,352,476,124,
Kings Park Primary School,74%,Primary,St Albans,Brimbank (C),Government,409,553,144,
Keysborough Primary School,74%,Primary,Springvale South,Greater Dandenong (C),Government,410,554,144,
Rowville Primary School,74%,Primary,Rowville,Knox (C),Government,410,554,144,
Bimbadeen Heights Primary School,74%,Primary,Mooroolbark,Yarra Ranges (S),Government,497,672,175,
Doncaster Primary School,74%,Primary,Doncaster,Manningham (C),Government,499,675,175,
Iramoo Primary School,74%,Primary,Wyndham Vale,Wyndham (C),Government,572,773,201,
Greenvale Primary School,74%,Primary,Greenvale,Hume (C),Government,648,875,228,
Harvest Home Primary School,74%,Primary,Epping,Whittlesea (C),Government,987,1334,347,
Bellarine Secondary College,74%,Secondary,Drysdale,Greater Geelong (C),Government,1187,1604,417,
Hesket Primary School,73%,Primary,Hesket,Macedon Ranges (S),Government,55,75,20,
Malmsbury Primary School,73%,Primary,Malmsbury,Macedon Ranges (S),Government,73,100,27,
Labertouche Primary School,73%,Primary,Labertouche,Baw Baw (S),Government,55,75,20,
Yea Primary School,73%,Primary,Yea,Murrindindi (S),Government,127,174,47,
Merri-bek Primary School,73%,Special,Warrnambool,Warrnambool (C),Government,165,226,61,
Daylesford Primary School,73%,Primary,Daylesford,Hepburn (S),Government,236,323,87,
Upper Plenty Primary School,73%,Primary,Upper Plenty,Mitchell (S),Government,200,274,74,
Moonee Ponds Primary School,73%,Primary,Moonee Ponds,Moonee Valley (C),Government,310,425,115,
Manorvale Primary School,73%,Primary,Werribee,Wyndham (C),Government,276,378,102,
Woady Yaloak Primary School,73%,Primary,Smythesdale,Golden Plains (S),Government,319,437,118,
Whitehorse Primary School,73%,Primary,Blackburn North,Whitehorse (C),Government,348,477,129,
Deepdene Primary School,73%,Primary,Deepdene,Boroondara (C),Government,386,529,143,
Dingley Primary School,73%,Primary,Dingley Village,Kingston (C),Government,423,580,157,
Coburg West Primary School,73%,Primary,Coburg,Moreland (C),Government,420,575,155,
Kalinda Primary School,73%,Primary,Ringwood,Maroondah (C),Government,453,621,168,
New Gisborne Primary School,73%,Primary,New Gisborne,Macedon Ranges (S),Government,492,674,182,
Altona Primary School,73%,Primary,Altona,Hobsons Bay (C),Government,531,727,196,
Antonio Park Primary School,73%,Primary,Mitcham,Whitehorse (C),Government,508,696,188,
Hampton Primary School,73%,Primary,Hampton,Bayside (C),Government,586,803,217,
Cambridge Primary School,73%,Primary,Hoppers Crossing,Wyndham (C),Government,773,1059,286,
Canterbury Girls Secondary College,73%,Secondary,Canterbury,Boroondara (C),Government,800,1096,296,
Point Cook Senior Secondary College,73%,Secondary,Point Cook,Wyndham (C),Government,761,1043,282,
Kyabram P-12 College,73%,Pri/Sec,Kyabram,Campaspe (S),Government,978,1340,362,
Mentone Girls Secondary College,73%,Secondary,Mentone,Kingston (C),Independent,960,1315,355,
Kurnai College,73%,Secondary,Morwell,Latrobe (C),Government,1175,1610,435,
Copperfield College,73%,Secondary,Delahey,Brimbank (C),Government,1889,2588,699,
Narrawong District Primary School,72%,Primary,Narrawong,Glenelg (S),Government,72,100,28,
Fish Creek and District Primary School,72%,Primary,Fish Creek,South Gippsland (S),Government,108,150,42,
Toolamba Primary School,72%,Primary,Toolamba,Greater Shepparton (C),Government,144,200,56,
Tongala Primary School,72%,Primary,Tongala,Campaspe (S),Government,126,175,49,
Panton Hill Primary School,72%,Primary,Panton Hill,Nillumbik (S),Government,144,200,56,
Myrniong Primary School,72%,Primary,Myrniong,Moorabool (S),Government,182,253,71,
Doreen Primary School,72%,Primary,Doreen,Nillumbik (S),Government,162,225,63,
Port Fairy Consolidated School,72%,Primary,Port Fairy,Moyne (S),Government,199,276,77,
Lalor East Primary School,72%,Primary,Thomastown,Whittlesea (C),Government,217,301,84,
Bass Valley Primary School,72%,Primary,Corinella,Bass Coast (S),Government,215,299,84,
Tullamarine Primary School,72%,Primary,Tullamarine,Hume (C),Government,251,349,98,
Badger Creek Primary School,72%,Primary,Healesville,Yarra Ranges (S),Government,252,350,98,
Coolaroo South Primary School,72%,Primary,Coolaroo,Hume (C),Government,272,378,106,
Fawkner Primary School,72%,Primary,Fawkner,Moreland (C),Government,256,355,99,
Euroa Secondary College,72%,Secondary,Euroa,Strathbogie (S),Government,308,427,120,
Mentone Primary School,72%,Primary,Mentone,Kingston (C),Government,344,478,134,
Rangebank Primary School,72%,Primary,Cranbourne,Casey (C),Government,364,506,142,
Goonawarra Primary School,72%,Primary,Sunbury,Hume (C),Government,381,529,148,
Auburn Primary School,72%,Primary,Hawthorn East,Boroondara (C),Government,386,536,150,
Sunshine Harvester Primary School,72%,Primary,Sunshine,Brimbank (C),Government,387,538,151,
Lalor Gardens Primary School,72%,Primary,Lalor,Whittlesea (C),Government,371,515,144,
Albert Park Primary School,72%,Primary,Albert Park,Port Phillip (C),Government,486,675,189,
Alfredton Primary School,72%,Primary,Alfredton,Ballarat (C),Independent,471,654,183,
Skye Primary School,72%,Primary,Skye,Frankston (C),Government,429,596,167,
Fairfield Primary School,72%,Primary,Fairfield,Darebin (C),Government,559,776,217,
Buninyong Primary School,72%,Primary,Buninyong,Ballarat (C),Government,635,882,247,
Kyneton High School,72%,Secondary,Kyneton,Macedon Ranges (S),Government,611,848,237,
Leongatha Secondary College,72%,Secondary,Leongatha,South Gippsland (S),Government,646,897,251,
Elwood Primary School,72%,Primary,Elwood,Port Phillip (C),Government,656,911,255,
Berwick Chase Primary School,72%,Primary,Berwick,Casey (C),Government,765,1063,298,
Charles La Trobe P-12 College,72%,Pri/Sec,Macleod West,Darebin (C),Government,710,986,276,
Lyndhurst Secondary College,72%,Secondary,Cranbourne,Casey (C),Government,780,1083,303,
Koo Wee Rup Secondary College,72%,Secondary,Koo Wee Rup,Cardinia (S),Government,1076,1495,419,
Thornbury High School,72%,Secondary,Thornbury,Darebin (C),Government,1050,1458,408,
Lilydale High School,72%,Secondary,Lilydale,Yarra Ranges (S),Government,1433,1991,557,
Northern Bay P-12 College,72%,Pri/Sec,Corio,Greater Geelong (C),Government,1710,2375,665,
Maldon Primary School,71%,Primary,Maldon,Mount Alexander (S),Government,89,125,36,
Wahgunyah Primary School,71%,Primary,Wahgunyah,Indigo (S),Government,89,125,36,
Little River Primary School,71%,Primary,Little River,Wyndham (C),Government,125,176,51,
Heathcote Primary School,71%,Primary,Heathcote,Greater Bendigo (C),Government,124,175,51,
Woodford Primary School,71%,Primary,Woodford,Warrnambool (C),Government,159,224,65,
Merrivale Primary School,71%,Primary,Warrnambool,Warrnambool (C),Government,196,276,80,
Big Hill Primary School,71%,Primary,Big Hill,Greater Bendigo (C),Government,247,348,101,
Beaufort Secondary College,71%,Secondary,Beaufort,Pyrenees (S),Government,218,307,89,
Box Hill North Primary School,71%,Primary,Box Hill North,Whitehorse (C),Government,237,333,97,
Ashby Primary School,71%,Primary,Geelong West,Greater Geelong (C),Government,231,325,94,
Wattle View Primary School,71%,Primary,Ferntree Gully,Knox (C),Government,267,376,109,
Foster Secondary College,71%,Secondary,Foster,South Gippsland (S),Government,283,399,116,
Strathmore Primary School,71%,Primary,Strathmore,Moonee Valley (C),Government,337,475,138,
Belvedere Park Primary School,71%,Primary,Seaford,Frankston (C),Government,320,451,131,
Ormond Primary School,71%,Primary,Ormond,Glen Eira (C),Government,339,477,138,
Gladstone Views Primary School,71%,Primary,Gladstone Park,Hume (C),Government,355,499,145,
Fitzroy North Primary School,71%,Primary,Fitzroy North,Yarra (C),Government,394,555,161,
Gladstone Park Primary School,71%,Primary,Gladstone Park,Hume (C),Government,394,555,161,
Burwood Heights Primary School,71%,Primary,Burwood East,Whitehorse (C),Government,399,562,163,
Bell Primary School,71%,Primary,Preston,Darebin (C),Government,428,603,175,
South Yarra Primary School,71%,Primary,South Yarra,Melbourne (C),Government,460,647,188,
Ashburton Primary School,71%,Primary,Ashburton,Boroondara (C),Government,479,675,196,
Black Rock Primary School,71%,Primary,Black Rock,Bayside (C),Government,503,709,206,
Templestowe Heights Primary School,71%,Primary,Templestowe Lower,Manningham (C),Government,445,627,182,
Westgrove Primary School,71%,Primary,Werribee,Wyndham (C),Government,577,813,236,
Portland Secondary College,71%,Secondary,Portland,Glenelg (S),Government,566,798,231,
Craigieburn South Primary School,71%,Primary,Craigieburn,Hume (C),Government,590,831,241,
Clyde Creek Primary School,71%,Primary,Clunes,Hepburn (S),Government,402,566,164,
Livingstone Primary School,71%,Primary,Vermont South,Whitehorse (C),Government,699,985,286,
Warragul Regional College,71%,Secondary,Warragul,Baw Baw (S),Government,762,1073,311,
Doveton College,71%,Pri/Sec,Doveton,Casey (C),Government,734,1034,300,
Victoria University Secondary College,71%,Secondary,St Albans,Brimbank (C),Government,1094,1541,447,
Bass Coast College,71%,Special,Belmont,Greater Geelong (C),Government,1603,2258,655,
Coimadai Primary School,70%,Primary,Coimadai,Moorabool (S),Government,70,100,30,
Oxley Primary School,70%,Primary,Oxley,Wangaratta (RC),Government,87,124,37,
Nambrok Denison Primary School,70%,Primary,Nambrok,Wellington (S),Government,88,126,38,
Yallourn North Primary School,70%,Primary,Yallourn North,Latrobe (C),Government,122,174,52,
Cardross Primary School,70%,Primary,Cardross,Mildura (RC),Government,105,150,45,
Warracknabeal Primary School,70%,Primary,Warracknabeal,Yarriambiack (S),Government,123,176,53,
Toolern Vale and District Primary School,70%,Primary,Toolern Vale,Melton (C),Government,175,250,75,
Lakes Entrance Primary School,70%,Primary,Lakes Entrance,East Gippsland (S),Government,244,349,105,
Aldercourt Primary School,70%,Primary,Frankston North,Frankston (C),Government,210,301,90,
Croydon Primary School,70%,Primary,Croydon,Maroondah (C),Government,230,329,99,
Eltham Primary School,70%,Primary,Eltham,Nillumbik (S),Government,297,424,127,
Echuca East Primary School,70%,Primary,Echuca,Campaspe (S),Government,280,400,120,
Devon Meadows Primary School,70%,Primary,Devon Meadows,Casey (C),Government,279,399,120,
Brighton Beach Primary School,70%,Primary,Brighton,Bayside (C),Government,314,449,135,
Korumburra Primary School,70%,Primary,Korumburra,South Gippsland (S),Government,316,452,136,
Footscray Primary School,70%,Primary,Footscray,Maribyrnong (C),Government,337,481,144,
Solway Primary School,70%,Primary,Ashburton,Boroondara (C),Government,385,550,165,
Coral Park Primary School,70%,Primary,Hampton Park,Casey (C),Government,349,499,150,
St Kilda Primary School,70%,Primary,St Kilda,Port Phillip (C),Government,440,629,189,
Wollert Primary School,70%,Primary,Wodonga,Wodonga (C),Government,386,551,165,
Mount Martha Primary School,70%,Primary,Mount Martha,Mornington Peninsula (S),Government,598,854,256,
Mount Eliza Secondary College,70%,Secondary,Mount Eliza,Mornington Peninsula (S),Government,754,1077,323,
Wodonga Senior Secondary College,70%,Secondary,Wodonga,Wodonga (C),Government,1204,1720,516,
Hazel Glen College,70%,Pri/Sec,Doreen,Whittlesea (C),Government,2619,3741,1122,EPI or enrollment data is likely wrong
Marysville Primary School,69%,Primary,Marysville,Murrindindi (S),Government,52,75,23,
Rokewood Primary School,69%,Primary,Rokewood,Golden Plains (S),Government,52,75,23,
Chum Creek Primary School,69%,Primary,Chum Creek,Yarra Ranges (S),Government,52,75,23,
Wooragee Primary School,69%,Primary,Wooragee,Indigo (S),Government,69,100,31,
Ceres Primary School,69%,Primary,Ceres,Greater Geelong (C),Government,121,175,54,
William Ruthven Primary School,69%,Primary,Reservoir,Darebin (C),Government,176,255,79,
Monbulk Primary School,69%,Primary,Monbulk,Yarra Ranges (S),Government,207,300,93,
Ringwood Heights Primary School,69%,Primary,Ringwood North,Maroondah (C),Government,241,349,108,
East Bentleigh Primary School,69%,Primary,Bentleigh East,Glen Eira (C),Government,348,504,156,
Botanic Ridge Primary School,69%,Primary,Botanic Ridge,Casey (C),Government,344,499,155,
Old Orchard Primary School,69%,Primary,Blackburn North,Whitehorse (C),Government,448,650,201,
Beaumaris North Primary School,69%,Primary,Beaumaris,Bayside (C),Government,518,751,233,
Horsham West and Haven Primary School,69%,Primary,Horsham,Horsham (RC),Government,646,937,290,
Laverton P-12 College,69%,Pri/Sec,Laverton,Hobsons Bay (C),Government,711,1030,319,
Grovedale College,69%,Secondary,Grovedale,Greater Geelong (C),Government,729,1056,327,
Keysborough Secondary College,69%,Secondary,Springvale South,Greater Dandenong (C),Government,2005,2905,901,
Nungurner Primary School,68%,Primary,Nungurner,East Gippsland (S),Government,34,50,16,
Invermay Primary School,68%,Primary,Invermay,Ballarat (C),Government,68,100,32,
Alberton Primary School,68%,Primary,Alberton,Wellington (S),Government,85,125,40,
George Street Primary School - Hamilton,68%,Primary,Hamilton,Southern Grampians (S),Government,103,151,48,
Magpie Primary School,68%,Primary,Magpie,Ballarat (C),Government,85,125,40,
Avoca Primary School,68%,Primary,Avoca,Pyrenees (S),Government,102,150,48,
Toorloo Arm Primary School,68%,Primary,Lake Tyers Beach,East Gippsland (S),Government,136,200,64,
Glengarry Primary School,68%,Primary,Glengarry,Latrobe (C),Government,136,200,64,
Belle Vue Park Primary School,68%,Primary,Glenroy,Moreland (C),Government,169,249,80,
Albion Primary School,68%,Primary,Albion,Brimbank (C),Government,188,276,88,
Bayswater North Primary School,68%,Primary,Bayswater North,Maroondah (C),Government,254,374,120,
Deer Park North Primary School,68%,Primary,Deer Park,Brimbank (C),Government,314,462,148,
Mildura Primary School,68%,Primary,Mildura,Mildura (RC),Government,376,553,177,
Miners Rest Primary School,68%,Primary,Miners Rest,Ballarat (C),Government,342,503,161,
Blackburn Primary School,68%,Primary,Blackburn,Whitehorse (C),Government,433,637,204,
Lyndale Greens Primary School,68%,Primary,Dandenong North,Greater Dandenong (C),Government,426,627,201,
Cobram Secondary College,68%,Secondary,Cobram,Moira (S),Government,423,621,199,
Horsham Primary School,68%,Primary,Horsham,Horsham (RC),Government,427,628,201,
Daylesford Secondary College,68%,Secondary,Daylesford,Hepburn (S),Government,473,695,223,
Craigieburn Primary School,68%,Primary,Craigieburn,Hume (C),Government,613,902,289,
Cheltenham Secondary College,68%,Secondary,Cheltenham,Kingston (C),Government,872,1282,410,
Copperfield College,68%,Secondary,Delahey,Brimbank (C),Government,1889,2778,889,
Mahogany Rise Primary School,67%,Primary,Frankston North,Frankston (C),Government,133,199,66,
Thomastown Primary School,67%,Primary,Thomastown,Whittlesea (C),Government,171,255,84,
Scoresby Primary School,67%,Primary,Scoresby,Knox (C),Government,202,301,99,
Southern Cross Primary School,67%,Primary,Endeavour Hills,Casey (C),Government,202,301,99,
Mickleham Primary School,67%,Primary,Mickleham,Hume (C),Government,290,433,143,
Mossgiel Park Primary School,67%,Primary,Endeavour Hills,Casey (C),Government,268,400,132,
Traralgon (Liddiard Road) Primary School,67%,Primary,Traralgon,Latrobe (C),Government,286,427,141,
The Patch Primary School,67%,Primary,The Patch,Yarra Ranges (S),Government,286,427,141,
Bayswater South Primary School,67%,Primary,Bayswater,Knox (C),Government,338,504,166,
Roxburgh Park Primary School,67%,Primary,Roxburgh Park,Hume (C),Government,403,602,199,
Swinburne Senior Secondary College,67%,Secondary,Hawthorn,Boroondara (C),Government,417,622,205,
Karoo Primary School,67%,Primary,Rowville,Knox (C),Government,450,672,222,
Kingsville Primary School,67%,Primary,Yarraville,Maribyrnong (C),Government,489,730,241,
St Georges Road Primary School Shepparton,67%,Primary,Shepparton,Greater Shepparton (C),Government,411,613,202,
Boronia Heights Primary School,67%,Primary,Boronia,Knox (C),Government,504,752,248,
Patterson Lakes Primary School,67%,Primary,Patterson Lakes,Kingston (C),Government,522,779,257,
Yarra Hills Secondary College,67%,Secondary,Mooroolbark,Yarra Ranges (S),Government,667,996,329,
Echuca College,67%,Secondary,Echuca,Campaspe (S),Government,734,1095,361,
Pakenham Secondary College,67%,Secondary,Pakenham,Cardinia (S),Government,821,1225,404,
Western Heights Secondary College,67%,Secondary,Hamlyn Heights,Greater Geelong (C),Government,799,1193,394,
Rowville Secondary College,67%,Secondary,Rowville,Knox (C),Government,1841,2748,907,
Clifton Creek Primary School,66%,Primary,Clifton Creek,East Gippsland (S),Government,33,50,17,
Skipton Primary School,66%,Primary,Skipton,Corangamite (S),Government,66,100,34,
Axedale Primary School,66%,Primary,Axedale,Greater Bendigo (C),Government,99,150,51,
Glengala Primary School,66%,Primary,Sunshine West,Brimbank (C),Government,167,253,86,
Fitzroy Primary School,66%,Primary,Fitzroy,Yarra (C),Government,199,302,103,
Maffra Primary School,66%,Primary,Maffra,Wellington (S),Government,265,402,137,
Yarra Road Primary School,66%,Primary,Croydon,Maroondah (C),Government,262,397,135,
Knox Park Primary School,66%,Primary,Knoxfield,Knox (C),Government,282,427,145,
Syndal South Primary School,66%,Primary,Mount Waverley,Monash (C),Government,322,488,166,
Preston South Primary School,66%,Primary,Preston,Darebin (C),Government,333,505,172,
Meadow Heights Primary School,66%,Primary,Meadow Heights,Hume (C),Government,363,550,187,
Lloyd Street Primary School,66%,Primary,Malvern East,Stonnington (C),Government,411,623,212,
Brunswick North Primary School,66%,Primary,Brunswick West,Moreland (C),Government,445,674,229,
Camberwell Primary School,66%,Primary,Camberwell,Boroondara (C),Government,562,852,290,
Langwarrin Park Primary School,66%,Primary,Langwarrin,Frankston (C),Government,612,927,315,
Carranballac P-9 College,66%,Pri/Sec,Point Cook,Wyndham (C),Government,1058,1603,545,
Hume Central Secondary College,66%,Secondary,Broadmeadows,Hume (C),Government,1176,1782,606,
Collingwood Coll. / Fitzroy HS,65%,Primary,Coleraine,Southern Grampians (S),Government,37,57,20,
Arthurs Creek Primary School,65%,Primary,Arthurs Creek,Nillumbik (S),Government,65,101,35,
Dunkeld Consolidated School,65%,Primary,Dunkeld,Southern Grampians (S),Government,97,149,52,
Peter Lalor Secondary College,65%,Secondary,Lalor,Whittlesea (C),Government,115,177,62,
Whittington Primary School,65%,Primary,Whittington,Greater Geelong (C),Government,130,200,70,
Mooroopna Park Primary School,65%,Primary,Mooroopna,Greater Shepparton (C),Government,129,198,69,
Kingston Heath Primary School,65%,Primary,Cheltenham,Kingston (C),Government,212,326,114,
Canadian Lead Primary School,65%,Primary,Ballarat East,Ballarat (C),Government,210,323,113,
Thomastown West Primary School,65%,Primary,Thomastown,Whittlesea (C),Government,261,402,141,
Thomastown Meadows Primary School,65%,Primary,Thomastown,Whittlesea (C),Government,277,426,149,
University Park Primary School,65%,Primary,St Albans,Brimbank (C),Government,264,406,142,
Cranbourne Park Primary School,65%,Primary,Cranbourne,Casey (C),Government,278,428,150,
Hamlyn Banks Primary School,65%,Primary,Hamlyn Heights,Greater Geelong (C),Government,307,473,165,
Mossfiel Primary School,65%,Primary,Hoppers Crossing,Wyndham (C),Government,360,554,194,
South Melbourne Park Primary School,65%,Primary,Albert Park,Port Phillip (C),Government,365,562,197,
Tucker Road Bentleigh Primary School,65%,Primary,Bentleigh,Glen Eira (C),Government,443,682,239,
Wodonga South Primary School,65%,Primary,Wodonga,Wodonga (C),Government,468,721,252,
Fountain Gate Primary School,65%,Primary,Narre Warren,Casey (C),Government,490,754,264,
Bundoora Secondary College,65%,Secondary,Bundoora,Banyule (C),Government,455,700,245,
Brighton Primary School,65%,Primary,Brighton,Bayside (C),Government,542,834,292,
Whittlesea Secondary College,65%,Secondary,Whittlesea,Whittlesea (C),Government,765,1176,412,
Elevation Secondary College,65%,Secondary,Craigieburn,Hume (C),Government,713,1097,384,
Sydenham - Hillside Primary School,65%,Primary,Sydenham,Brimbank (C),Government,1080,1662,582,
Preston High School,65%,Secondary,Preston,Darebin (C),Government,901,1386,485,
Bona Vista Primary School,64%,Primary,Bona Vista,Baw Baw (S),Government,32,50,18,
Congupna Primary School,64%,Primary,Congupna,Greater Shepparton (C),Government,80,125,45,
Moe (Albert Street) Primary School,64%,Primary,Moe,Latrobe (C),Government,128,200,72,
Neerim South Primary School,64%,Primary,Neerim South,Baw Baw (S),Government,145,227,82,
Mount Dandenong Primary School,64%,Primary,Mount Dandenong,Yarra Ranges (S),Government,159,249,90,
Wattle Park Primary School,64%,Primary,Burwood,Whitehorse (C),Government,288,451,162,
Glenroy Central Primary School,64%,Primary,Glenroy,Moreland (C),Government,257,402,145,
Cobram Primary School,64%,Primary,Cobram,Moira (S),Government,271,423,152,
Richmond West Primary School,64%,Primary,Richmond,Yarra (C),Government,290,453,163,
Eaglehawk North Primary School,64%,Primary,Eaglehawk,Greater Bendigo (C),Government,287,448,161,
Ferntree Gully North Primary School,64%,Primary,Ferntree Gully,Knox (C),Government,318,497,179,
Upwey South Primary School,64%,Primary,Upwey,Yarra Ranges (S),Government,271,423,152,
Rochester Secondary College,64%,Secondary,Rochester,Campaspe (S),Government,321,501,180,
Merri Creek Primary School,64%,Primary,Fitzroy North,Yarra (C),Government,432,674,243,
Mildura South Primary School,64%,Primary,Mildura South,Mildura (RC),Government,447,698,251,
Westall Secondary College,64%,Secondary,Clayton South,Kingston (C),Government,588,919,331,
Castlemaine Secondary College,64%,Secondary,Castlemaine,Mount Alexander (S),Government,770,1203,433,
Pakenham Springs Primary School,64%,Primary,Pakenham,Cardinia (S),Government,706,1103,397,
Charles La Trobe P-12 College,64%,Pri/Sec,Macleod West,Darebin (C),Government,710,1109,399,
Epping Views Primary School,64%,Primary,Epping,Whittlesea (C),Government,955,1492,537,
Melton South Primary School,64%,Primary,Melton South,Melton (C),Government,912,1425,513,
Yarrawonga College P-12,64%,Pri/Sec,Yarrawonga,Moira (S),Government,992,1550,558,
Nyah District Primary School,63%,Primary,Nyah West,Swan Hill (RC),Government,63,100,37,
Trentham District Primary School,63%,Primary,Trentham,Hepburn (S),Government,111,176,65,
Poowong Consolidated School,63%,Primary,Poowong,South Gippsland (S),Government,126,200,74,
Porepunkah Primary School,63%,Primary,Porepunkah,Alpine (S),Government,111,176,65,
Ferny Creek Primary School,63%,Primary,Ferny Creek,Yarra Ranges (S),Government,172,273,101,
Drouin South Primary School,63%,Primary,Drouin South,Baw Baw (S),Government,157,249,92,
Tatura Primary School,63%,Primary,Tatura,Greater Shepparton (C),Government,220,349,129,
Wilmot Road Primary School Shepparton,63%,Primary,Shepparton,Greater Shepparton (C),Government,238,378,140,
